"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","563","Create user","LMS service","Fri Jun 27 09:41:26 GMT 2025","passed","Fri Jun 27 09:41:27 GMT 2025","Create entity","Users","",""
"","531","Create user","LMS service","Fri Jun 27 09:41:26 GMT 2025","passed","Fri Jun 27 09:41:26 GMT 2025","Create entity","Users","",""
"","287","Get exercise","LMS service","Fri Jun 27 09:41:21 GMT 2025","passed","Fri Jun 27 09:41:22 GMT 2025","Get entity","Exercises","",""
"","265","Get file with incorrect file id","LMS service","Fri Jun 27 09:41:26 GMT 2025","passed","Fri Jun 27 09:41:26 GMT 2025","Validate entity","Files","",""
"","16","Get exercises","LMS service","Fri Jun 27 09:41:23 GMT 2025","passed","Fri Jun 27 09:41:23 GMT 2025","Get entities","Exercises","",""
"","29","Create course","LMS service","Fri Jun 27 09:41:20 GMT 2025","passed","Fri Jun 27 09:41:20 GMT 2025","Create entity","Courses","",""
"","15","Get file","LMS service","Fri Jun 27 09:41:24 GMT 2025","passed","Fri Jun 27 09:41:24 GMT 2025","Get entity","Files","",""
"","305","Update course","LMS service","Fri Jun 27 09:41:19 GMT 2025","passed","Fri Jun 27 09:41:19 GMT 2025","Update entity","Courses","",""
"","300","Get courses","LMS service","Fri Jun 27 09:41:19 GMT 2025","passed","Fri Jun 27 09:41:19 GMT 2025","Get entities","Courses","",""
"","292","Delete exercise","LMS service","Fri Jun 27 09:41:22 GMT 2025","passed","Fri Jun 27 09:41:23 GMT 2025","Delete entity","Exercises","",""
"","20","Delete file","LMS service","Fri Jun 27 09:41:26 GMT 2025","passed","Fri Jun 27 09:41:26 GMT 2025","Delete entity","Files","",""
"","289","Update exercise","LMS service","Fri Jun 27 09:41:21 GMT 2025","passed","Fri Jun 27 09:41:21 GMT 2025","Update entity","Exercises","",""
"","24","Create exercise","LMS service","Fri Jun 27 09:41:20 GMT 2025","passed","Fri Jun 27 09:41:20 GMT 2025","Create entity","Exercises","",""
"","267","Create file with empty filename","LMS service","Fri Jun 27 09:41:24 GMT 2025","passed","Fri Jun 27 09:41:25 GMT 2025","Validate entity","Files","",""
"","551","Login with correct email and password","LMS service","Fri Jun 27 09:41:18 GMT 2025","passed","Fri Jun 27 09:41:18 GMT 2025","Login","Authentication","",""
"","289","Create user","LMS service","Fri Jun 27 09:41:26 GMT 2025","passed","Fri Jun 27 09:41:27 GMT 2025","Create entity","Users","",""
"","270","Create file","LMS service","Fri Jun 27 09:41:23 GMT 2025","passed","Fri Jun 27 09:41:24 GMT 2025","Create entity","Files","",""
"","19","Get user me","LMS service","Fri Jun 27 09:41:28 GMT 2025","passed","Fri Jun 27 09:41:28 GMT 2025","Get entity","Users","",""
"","261","Create file with empty directory","LMS service","Fri Jun 27 09:41:25 GMT 2025","passed","Fri Jun 27 09:41:25 GMT 2025","Validate entity","Files","",""
