"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Get exercises","LMS service","Fri Jun 27 13:43:49 GMT 2025","passed","Fri Jun 27 13:43:49 GMT 2025","Get entities","Exercises","",""
"","265","Create file with empty directory","LMS service","Fri Jun 27 13:43:51 GMT 2025","passed","Fri Jun 27 13:43:51 GMT 2025","Validate entity","Files","",""
"","559","Create user","LMS service","Fri Jun 27 13:43:52 GMT 2025","passed","Fri Jun 27 13:43:53 GMT 2025","Create entity","Users","",""
"","300","Get courses","LMS service","Fri Jun 27 13:43:44 GMT 2025","passed","Fri Jun 27 13:43:45 GMT 2025","Get entities","Courses","",""
"","289","Get exercise","LMS service","Fri Jun 27 13:43:47 GMT 2025","passed","Fri Jun 27 13:43:47 GMT 2025","Get entity","Exercises","",""
"","300","Update course","LMS service","Fri Jun 27 13:43:45 GMT 2025","passed","Fri Jun 27 13:43:45 GMT 2025","Update entity","Courses","",""
"","291","Create user","LMS service","Fri Jun 27 13:43:52 GMT 2025","passed","Fri Jun 27 13:43:52 GMT 2025","Create entity","Users","",""
"","14","Get file","LMS service","Fri Jun 27 13:43:50 GMT 2025","passed","Fri Jun 27 13:43:50 GMT 2025","Get entity","Files","",""
"","267","Get file with incorrect file id","LMS service","Fri Jun 27 13:43:52 GMT 2025","passed","Fri Jun 27 13:43:52 GMT 2025","Validate entity","Files","",""
"","29","Create course","LMS service","Fri Jun 27 13:43:45 GMT 2025","passed","Fri Jun 27 13:43:46 GMT 2025","Create entity","Courses","",""
"","525","Create user","LMS service","Fri Jun 27 13:43:51 GMT 2025","passed","Fri Jun 27 13:43:52 GMT 2025","Create entity","Users","",""
"","270","Create file","LMS service","Fri Jun 27 13:43:49 GMT 2025","passed","Fri Jun 27 13:43:49 GMT 2025","Create entity","Files","",""
"","289","Delete exercise","LMS service","Fri Jun 27 13:43:48 GMT 2025","passed","Fri Jun 27 13:43:48 GMT 2025","Delete entity","Exercises","",""
"","286","Update exercise","LMS service","Fri Jun 27 13:43:47 GMT 2025","passed","Fri Jun 27 13:43:47 GMT 2025","Update entity","Exercises","",""
"","266","Create file with empty filename","LMS service","Fri Jun 27 13:43:50 GMT 2025","passed","Fri Jun 27 13:43:50 GMT 2025","Validate entity","Files","",""
"","22","Create exercise","LMS service","Fri Jun 27 13:43:46 GMT 2025","passed","Fri Jun 27 13:43:46 GMT 2025","Create entity","Exercises","",""
"","13","Get user me","LMS service","Fri Jun 27 13:43:53 GMT 2025","passed","Fri Jun 27 13:43:53 GMT 2025","Get entity","Users","",""
"","20","Delete file","LMS service","Fri Jun 27 13:43:51 GMT 2025","passed","Fri Jun 27 13:43:51 GMT 2025","Delete entity","Files","",""
"","285","Login with correct email and password","LMS service","Fri Jun 27 13:43:43 GMT 2025","passed","Fri Jun 27 13:43:44 GMT 2025","Login","Authentication","",""
