"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","266","Create file","LMS service","Sat Jun 28 13:29:54 GMT 2025","passed","Sat Jun 28 13:29:54 GMT 2025","Create entity","Files","",""
"","561","Create user","LMS service","Sat Jun 28 13:29:57 GMT 2025","passed","Sat Jun 28 13:29:58 GMT 2025","Create entity","Users","",""
"","14","Get exercise","LMS service","Sat Jun 28 13:29:53 GMT 2025","passed","Sat Jun 28 13:29:53 GMT 2025","Get entity","Exercises","",""
"","31","Create course","LMS service","Sat Jun 28 13:29:51 GMT 2025","passed","Sat Jun 28 13:29:51 GMT 2025","Create entity","Courses","",""
"","267","Create file with empty directory","LMS service","Sat Jun 28 13:29:56 GMT 2025","passed","Sat Jun 28 13:29:56 GMT 2025","Validate entity","Files","",""
"","285","Delete exercise","LMS service","Sat Jun 28 13:29:53 GMT 2025","passed","Sat Jun 28 13:29:54 GMT 2025","Delete entity","Exercises","",""
"","11","Get user me","LMS service","Sat Jun 28 13:29:59 GMT 2025","passed","Sat Jun 28 13:29:59 GMT 2025","Get entity","Users","",""
"","310","Update course","LMS service","Sat Jun 28 13:29:50 GMT 2025","passed","Sat Jun 28 13:29:50 GMT 2025","Update entity","Courses","",""
"","22","Create exercise","LMS service","Sat Jun 28 13:29:51 GMT 2025","passed","Sat Jun 28 13:29:51 GMT 2025","Create entity","Exercises","",""
"","289","Update exercise","LMS service","Sat Jun 28 13:29:52 GMT 2025","passed","Sat Jun 28 13:29:52 GMT 2025","Update entity","Exercises","",""
"","264","Get file with incorrect file id","LMS service","Sat Jun 28 13:29:57 GMT 2025","passed","Sat Jun 28 13:29:57 GMT 2025","Validate entity","Files","",""
"","20","Delete file","LMS service","Sat Jun 28 13:29:57 GMT 2025","passed","Sat Jun 28 13:29:57 GMT 2025","Delete entity","Files","",""
"","17","Get file","LMS service","Sat Jun 28 13:29:55 GMT 2025","passed","Sat Jun 28 13:29:55 GMT 2025","Get entity","Files","",""
"","563","Create user","LMS service","Sat Jun 28 13:29:57 GMT 2025","passed","Sat Jun 28 13:29:58 GMT 2025","Create entity","Users","",""
"","305","Get courses","LMS service","Sat Jun 28 13:29:50 GMT 2025","passed","Sat Jun 28 13:29:50 GMT 2025","Get entities","Courses","",""
"","531","Create user","LMS service","Sat Jun 28 13:29:57 GMT 2025","passed","Sat Jun 28 13:29:57 GMT 2025","Create entity","Users","",""
"","283","Login with correct email and password","LMS service","Sat Jun 28 13:29:49 GMT 2025","passed","Sat Jun 28 13:29:49 GMT 2025","Login","Authentication","",""
"","15","Get exercises","LMS service","Sat Jun 28 13:29:54 GMT 2025","passed","Sat Jun 28 13:29:54 GMT 2025","Get entities","Exercises","",""
"","265","Create file with empty filename","LMS service","Sat Jun 28 13:29:55 GMT 2025","passed","Sat Jun 28 13:29:56 GMT 2025","Validate entity","Files","",""
