"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","Update course","LMS service","Sat Jun 28 13:48:17 GMT 2025","passed","Sat Jun 28 13:48:17 GMT 2025","Update entity","Courses","",""
"","299","Get exercises","LMS service","Sat Jun 28 13:48:20 GMT 2025","passed","Sat Jun 28 13:48:20 GMT 2025","Get entities","Exercises","",""
"","19","Update exercise","LMS service","Sat Jun 28 13:48:18 GMT 2025","passed","Sat Jun 28 13:48:18 GMT 2025","Update entity","Exercises","",""
"","18","Create file with empty filename","LMS service","Sat Jun 28 13:48:21 GMT 2025","passed","Sat Jun 28 13:48:21 GMT 2025","Validate entity","Files","",""
"","26","Create exercise","LMS service","Sat Jun 28 13:48:18 GMT 2025","passed","Sat Jun 28 13:48:18 GMT 2025","Create entity","Exercises","",""
"","560","Create user","LMS service","Sat Jun 28 13:48:23 GMT 2025","passed","Sat Jun 28 13:48:24 GMT 2025","Create entity","Users","",""
"","27","Create course","LMS service","Sat Jun 28 13:48:17 GMT 2025","passed","Sat Jun 28 13:48:17 GMT 2025","Create entity","Courses","",""
"","267","Create file with empty directory","LMS service","Sat Jun 28 13:48:22 GMT 2025","passed","Sat Jun 28 13:48:23 GMT 2025","Validate entity","Files","",""
"","290","Create user","LMS service","Sat Jun 28 13:48:23 GMT 2025","passed","Sat Jun 28 13:48:24 GMT 2025","Create entity","Users","",""
"","20","Get file","LMS service","Sat Jun 28 13:48:21 GMT 2025","passed","Sat Jun 28 13:48:21 GMT 2025","Get entity","Files","",""
"","23","Get exercise","LMS service","Sat Jun 28 13:48:19 GMT 2025","passed","Sat Jun 28 13:48:19 GMT 2025","Get entity","Exercises","",""
"","20","Create file","LMS service","Sat Jun 28 13:48:20 GMT 2025","passed","Sat Jun 28 13:48:20 GMT 2025","Create entity","Files","",""
"","297","Delete file","LMS service","Sat Jun 28 13:48:23 GMT 2025","passed","Sat Jun 28 13:48:23 GMT 2025","Delete entity","Files","",""
"","14","Get user me","LMS service","Sat Jun 28 13:48:25 GMT 2025","passed","Sat Jun 28 13:48:25 GMT 2025","Get entity","Users","",""
"","553","Login with correct email and password","LMS service","Sat Jun 28 13:48:15 GMT 2025","passed","Sat Jun 28 13:48:15 GMT 2025","Login","Authentication","",""
"","290","Delete exercise","LMS service","Sat Jun 28 13:48:19 GMT 2025","passed","Sat Jun 28 13:48:19 GMT 2025","Delete entity","Exercises","",""
"","28","Get courses","LMS service","Sat Jun 28 13:48:15 GMT 2025","passed","Sat Jun 28 13:48:15 GMT 2025","Get entities","Courses","",""
"","259","Get file with incorrect file id","LMS service","Sat Jun 28 13:48:23 GMT 2025","passed","Sat Jun 28 13:48:23 GMT 2025","Validate entity","Files","",""
"","546","Create user","LMS service","Sat Jun 28 13:48:23 GMT 2025","passed","Sat Jun 28 13:48:23 GMT 2025","Create entity","Users","",""
