"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","Get courses","LMS service","Thu Jul 03 13:04:48 GMT 2025","passed","Thu Jul 03 13:04:48 GMT 2025","Get entities","Courses","",""
"","12","Get user me","LMS service","Thu Jul 03 13:04:58 GMT 2025","passed","Thu Jul 03 13:04:58 GMT 2025","Get entity","Users","",""
"","260","Create file with empty filename","LMS service","Thu Jul 03 13:04:54 GMT 2025","passed","Thu Jul 03 13:04:54 GMT 2025","Validate entity","Files","",""
"","26","Create file","LMS service","Thu Jul 03 13:04:53 GMT 2025","passed","Thu Jul 03 13:04:53 GMT 2025","Create entity","Files","",""
"","551","Login with correct email and password","LMS service","Thu Jul 03 13:04:48 GMT 2025","passed","Thu Jul 03 13:04:48 GMT 2025","Login","Authentication","",""
"","51","Get exercise","LMS service","Thu Jul 03 13:04:52 GMT 2025","passed","Thu Jul 03 13:04:52 GMT 2025","Get entity","Exercises","",""
"","270","Get file with incorrect file id","LMS service","Thu Jul 03 13:04:56 GMT 2025","passed","Thu Jul 03 13:04:56 GMT 2025","Validate entity","Files","",""
"","558","Create user","LMS service","Thu Jul 03 13:04:56 GMT 2025","passed","Thu Jul 03 13:04:57 GMT 2025","Create entity","Users","",""
"","23","Create exercise","LMS service","Thu Jul 03 13:04:51 GMT 2025","passed","Thu Jul 03 13:04:51 GMT 2025","Create entity","Exercises","",""
"","22","Get exercises","LMS service","Thu Jul 03 13:04:53 GMT 2025","passed","Thu Jul 03 13:04:53 GMT 2025","Get entities","Exercises","",""
"","260","Create file with empty directory","LMS service","Thu Jul 03 13:04:55 GMT 2025","passed","Thu Jul 03 13:04:56 GMT 2025","Validate entity","Files","",""
"","289","Create user","LMS service","Thu Jul 03 13:04:56 GMT 2025","passed","Thu Jul 03 13:04:57 GMT 2025","Create entity","Users","",""
"","36","Update course","LMS service","Thu Jul 03 13:04:50 GMT 2025","passed","Thu Jul 03 13:04:50 GMT 2025","Update entity","Courses","",""
"","23","Update exercise","LMS service","Thu Jul 03 13:04:51 GMT 2025","passed","Thu Jul 03 13:04:51 GMT 2025","Update entity","Exercises","",""
"","14","Get file","LMS service","Thu Jul 03 13:04:54 GMT 2025","passed","Thu Jul 03 13:04:54 GMT 2025","Get entity","Files","",""
"","28","Create course","LMS service","Thu Jul 03 13:04:50 GMT 2025","passed","Thu Jul 03 13:04:50 GMT 2025","Create entity","Courses","",""
"","554","Create user","LMS service","Thu Jul 03 13:04:56 GMT 2025","passed","Thu Jul 03 13:04:56 GMT 2025","Create entity","Users","",""
"","297","Delete file","LMS service","Thu Jul 03 13:04:56 GMT 2025","passed","Thu Jul 03 13:04:56 GMT 2025","Delete entity","Files","",""
"","19","Delete exercise","LMS service","Thu Jul 03 13:04:52 GMT 2025","passed","Thu Jul 03 13:04:52 GMT 2025","Delete entity","Exercises","",""
