"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","300","Get courses","LMS service","Sat Jun 28 13:25:57 GMT 2025","passed","Sat Jun 28 13:25:57 GMT 2025","Get entities","Courses","",""
"","550","Create user","LMS service","Sat Jun 28 13:26:04 GMT 2025","passed","Sat Jun 28 13:26:05 GMT 2025","Create entity","Users","",""
"","19","Create file with empty filename","LMS service","Sat Jun 28 13:26:03 GMT 2025","passed","Sat Jun 28 13:26:03 GMT 2025","Validate entity","Files","",""
"","295","Create exercise","LMS service","Sat Jun 28 13:25:59 GMT 2025","passed","Sat Jun 28 13:25:59 GMT 2025","Create entity","Exercises","",""
"","22","Create file","LMS service","Sat Jun 28 13:26:02 GMT 2025","passed","Sat Jun 28 13:26:02 GMT 2025","Create entity","Files","",""
"","565","Create user","LMS service","Sat Jun 28 13:26:05 GMT 2025","passed","Sat Jun 28 13:26:05 GMT 2025","Create entity","Users","",""
"","18","Get file","LMS service","Sat Jun 28 13:26:03 GMT 2025","passed","Sat Jun 28 13:26:03 GMT 2025","Get entity","Files","",""
"","13","Get user me","LMS service","Sat Jun 28 13:26:06 GMT 2025","passed","Sat Jun 28 13:26:06 GMT 2025","Get entity","Users","",""
"","564","Create user","LMS service","Sat Jun 28 13:26:05 GMT 2025","passed","Sat Jun 28 13:26:05 GMT 2025","Create entity","Users","",""
"","19","Update exercise","LMS service","Sat Jun 28 13:25:59 GMT 2025","passed","Sat Jun 28 13:25:59 GMT 2025","Update entity","Exercises","",""
"","265","Create file with empty directory","LMS service","Sat Jun 28 13:26:04 GMT 2025","passed","Sat Jun 28 13:26:04 GMT 2025","Validate entity","Files","",""
"","299","Update course","LMS service","Sat Jun 28 13:25:57 GMT 2025","passed","Sat Jun 28 13:25:58 GMT 2025","Update entity","Courses","",""
"","287","Get exercises","LMS service","Sat Jun 28 13:26:01 GMT 2025","passed","Sat Jun 28 13:26:02 GMT 2025","Get entities","Exercises","",""
"","292","Get exercise","LMS service","Sat Jun 28 13:26:00 GMT 2025","passed","Sat Jun 28 13:26:00 GMT 2025","Get entity","Exercises","",""
"","287","Login with correct email and password","LMS service","Sat Jun 28 13:25:56 GMT 2025","passed","Sat Jun 28 13:25:56 GMT 2025","Login","Authentication","",""
"","294","Delete file","LMS service","Sat Jun 28 13:26:04 GMT 2025","passed","Sat Jun 28 13:26:04 GMT 2025","Delete entity","Files","",""
"","31","Create course","LMS service","Sat Jun 28 13:25:58 GMT 2025","passed","Sat Jun 28 13:25:58 GMT 2025","Create entity","Courses","",""
"","260","Get file with incorrect file id","LMS service","Sat Jun 28 13:26:04 GMT 2025","passed","Sat Jun 28 13:26:05 GMT 2025","Validate entity","Files","",""
"","20","Delete exercise","LMS service","Sat Jun 28 13:26:01 GMT 2025","passed","Sat Jun 28 13:26:01 GMT 2025","Delete entity","Exercises","",""
